10/03/2023 10:07:34 AM aLWAb_N extracting now
10/03/2023 10:07:35 AM looking into /mnt/winds/data2/nnn/ERA5/BARO_N/1979_aLWAb_N.nc now
10/03/2023 10:07:39 AM looking into /mnt/winds/data2/nnn/ERA5/BARO_N/1980_aLWAb_N.nc now
10/03/2023 10:07:42 AM looking into /mnt/winds/data2/nnn/ERA5/BARO_N/1981_aLWAb_N.nc now
10/03/2023 10:07:44 AM looking into /mnt/winds/data2/nnn/ERA5/BARO_N/1982_aLWAb_N.nc now
10/03/2023 10:07:46 AM looking into /mnt/winds/data2/nnn/ERA5/BARO_N/1983_aLWAb_N.nc now
10/03/2023 10:07:49 AM looking into /mnt/winds/data2/nnn/ERA5/BARO_N/1984_aLWAb_N.nc now
10/03/2023 10:07:51 AM looking into /mnt/winds/data2/nnn/ERA5/BARO_N/1985_aLWAb_N.nc now
10/03/2023 10:07:53 AM looking into /mnt/winds/data2/nnn/ERA5/BARO_N/1986_aLWAb_N.nc now
10/03/2023 10:07:55 AM looking into /mnt/winds/data2/nnn/ERA5/BARO_N/1987_aLWAb_N.nc now
10/03/2023 10:07:58 AM looking into /mnt/winds/data2/nnn/ERA5/BARO_N/1988_aLWAb_N.nc now
10/03/2023 10:08:00 AM looking into /mnt/winds/data2/nnn/ERA5/BARO_N/1989_aLWAb_N.nc now
10/03/2023 10:08:02 AM looking into /mnt/winds/data2/nnn/ERA5/BARO_N/1990_aLWAb_N.nc now
10/03/2023 10:08:05 AM looking into /mnt/winds/data2/nnn/ERA5/BARO_N/1991_aLWAb_N.nc now
10/03/2023 10:08:07 AM looking into /mnt/winds/data2/nnn/ERA5/BARO_N/1992_aLWAb_N.nc now
10/03/2023 10:08:09 AM looking into /mnt/winds/data2/nnn/ERA5/BARO_N/1993_aLWAb_N.nc now
10/03/2023 10:08:11 AM looking into /mnt/winds/data2/nnn/ERA5/BARO_N/1994_aLWAb_N.nc now
10/03/2023 10:08:14 AM looking into /mnt/winds/data2/nnn/ERA5/BARO_N/1995_aLWAb_N.nc now
10/03/2023 10:08:16 AM looking into /mnt/winds/data2/nnn/ERA5/BARO_N/1996_aLWAb_N.nc now
10/03/2023 10:08:18 AM looking into /mnt/winds/data2/nnn/ERA5/BARO_N/1997_aLWAb_N.nc now
10/03/2023 10:08:21 AM looking into /mnt/winds/data2/nnn/ERA5/BARO_N/1998_aLWAb_N.nc now
10/03/2023 10:08:23 AM looking into /mnt/winds/data2/nnn/ERA5/BARO_N/1999_aLWAb_N.nc now
10/03/2023 10:08:25 AM looking into /mnt/winds/data2/nnn/ERA5/BARO_N/2000_aLWAb_N.nc now
10/03/2023 10:08:27 AM looking into /mnt/winds/data2/nnn/ERA5/BARO_N/2001_aLWAb_N.nc now
10/03/2023 10:08:30 AM looking into /mnt/winds/data2/nnn/ERA5/BARO_N/2002_aLWAb_N.nc now
10/03/2023 10:08:32 AM looking into /mnt/winds/data2/nnn/ERA5/BARO_N/2003_aLWAb_N.nc now
10/03/2023 10:08:34 AM looking into /mnt/winds/data2/nnn/ERA5/BARO_N/2004_aLWAb_N.nc now
